goods_id,goods_title,price,sales,shop_name,category,image_url
1077954859854,漫步者三丽鸥无线蓝牙耳机2026新款超长续航官方正品久戴不痛降噪,88.33,5人付款,万达折扣卫可旺铺,蓝牙耳机,https://img.alicdn.com/imgextra/i4/2216831798453/O1CN01uz2yHdZl58B21stE_!!2216831798453.jpg
696907895167,2026新款蓝牙耳机入耳式无线游戏超长续航大电量待机高品质男女生,40.9,2万+人付款,mykungfu数码旗舰店,蓝牙耳机,https://img.alicdn.com/imgextra/i4/1873538677/O1CN01mqYEdl2Dy7on398cp_!!4611686018427383413-2-item_pic.png
996469534888,蓝牙耳机无线半入耳式单双耳高品质运动音乐开车通话降噪超长续航,8.2,9000+人付款,悦听数码城,蓝牙耳机,https://img.alicdn.com/imgextra/i2/2201228141134/O1CN01uqzf0F1KFQFHGsKgf_!!2201228141134.jpg
1019762789206,新款透明无线蓝牙耳机入耳式降噪高音质高颜值数显全电竞主动降噪,0.01,10万+人付款,顺鑫百货优选店,蓝牙耳机,https://img.alicdn.com/imgextra/i2/2219338214922/O1CN01mXCBIH1mEKYcRzID0_!!2219338214922.jpg
1078890684168,二合一两对蓝牙耳机2026新款无线耳夹式跑步半入耳超长续航降噪,31.01,1000+人看过,榴六六旗舰店,蓝牙耳机,https://img.alicdn.com/imgextra/i4/2214244409612/O1CN01Vd2FCHAj1FG1WPjS_!!4611686018427379980-0-item_pic.jpg
795599444966,不入耳骨传导真无线蓝牙耳机2026新款耳夹挂耳式男女运动官方正品,26.5,6万+人付款,otn旗舰店,蓝牙耳机,https://img.alicdn.com/imgextra/i2/2211794284930/O1CN01dbp7RJ1mHzjLM32z3_!!4611686018427384194-0-item_pic.jpg
896278567700,【顺丰】华强北蓝牙耳机无线2026新款七代长续航适用苹果iPhone正,50.7,6万+人付款,天驰莱旗舰店,蓝牙耳机,https://img.alicdn.com/imgextra/i1/2218952919932/O1CN01njMbap2NEupdDabND_!!4611686018427382652-0-item_pic.jpg
777753412650,蓝牙耳机2026新款真无线睡眠降噪高音质不入耳超长续航睡觉专用女,12.56,3万+人付款,榴六六旗舰店,蓝牙耳机,https://img.alicdn.com/imgextra/i4/2214244409612/O1CN01fmkwIX2KsM5iZf39J_!!4611686018427379980-0-item_pic.jpg
1061649791558,蓝牙耳机2026新款无线二合一两对耳夹式骨传导半入耳跑步超长续航,18.42,4000+人付款,尔野数码专营店,蓝牙耳机,https://img.alicdn.com/imgextra/i1/3955173308/O1CN01ZGnv091aJ7KuQuv89_!!4611686018427381692-0-item_pic.jpg
777231264186,蓝牙耳机新款2026无线降噪高音质男入耳塞式高品质女高端超长续航,17.31,3万+人付款,xlmi旗舰店,蓝牙耳机,https://img.alicdn.com/imgextra/i4/2208805283546/O1CN01d9DEA71c47XBDEL0J_!!4611686018427381466-2-item_pic.png
